,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Last Name,Author First Name,Other Authors,Newspaper/Publisher,Publication Year,Article Title,"Publication Location (City, County, State) Where was the article published? ","Contextual Location (City, County, State) Where is the article talking about? If mutliple locations are referenced, list them all. If national, write national","News Source (e.g. Google, Ethnic News Watch, etc)",Date of Publication,"Page # (if applicable, if not, write N/A)",Type,Link (paste to Google drive upload),MMIWG mentioned (1=y 0=n),"MMIWG defined (1,0)","specific case (1,0)","MMIWG mvmnt (1,0)","coverage of legal protection (1,0)","News article (1,0)","video/audio (1,0)","material culture (1,0)","international (1,0)","national (1,0)","regional (1,0)","local (1,0)","Native (1,0)",# of sources,# of govt officials,# of ordinary people,# of experts,# of id male,# of id female,# of gender unID,"(Native voice) token/soundbite (1,0)","centers importance of MMIWG (1,0)","discussion of law impact (1,0)",word count,"article series (1,0)"
Staff Writer,,,Columbia Gorge News,2024,"""Portaits in Red"" opens at Warm Springs","Hood River, OR","Warm Springs, OR; Oregon; Ney York City, NY; Ontario, CAN",Access World News,"June 4th, 2024",N/A,Newspaper,https://drive.google.com/file/d/1P5tUda0JE1Sse8m9M8hToFx45k6dQqoC/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
Staff Writer,,,Columbia Gorge News,2023,"FBI dedicates investigatiive, victim specialist resources to Indigenous women and children","Hood River, OR","Portland, OR, Bend, OR; Seattle, WA; Oregon; Washington D.C.",Access World News,"October 10th, 2023",N/A,Newspaper,https://drive.google.com/file/d/1AFtHOKkDaW55YY8NygemcrwnX9EL8gnT/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
Kaufman,Tammy,,Columbia Gorge News,2021,May 5 honored missing and murdered Indigenous persons: 'Bring them home' bill proposed ,"Hood River, OR","Washington; Oregon; Yakima Nation, WA",Access World News,"May 12th, 2021",N/A,Newspaper,https://drive.google.com/file/d/12OZevfjOzUd-IXYTnTx4pwhgkVwIxCL0/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
Kaufman,Tammy,,Columbia Gorge News,2021,Activities supports Indigenous women and girls: Virtual activities run from April 29-May 5,"Hood River, OR","Klickitat County, WA; Washington; Oregon; Alaska",Access World News,"April 28th, 2021",N/A,Newspaper,https://drive.google.com/file/d/1l-NVjkS08XZDFihGnWj7hD_HZVVVJ37M/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
Melanie,Henshaw,,Corvalis-Gazette Times,2025,Bill would allow Oregon tribes to formally Petition for removal of state control ,"Corvalis, OR","Bend, OR; Oregon; Confederated Tribes of Umatilla Indian Reservation, OR; Confederated Tribes of Warm Springs Indian Reservation, OR;",Access World News,"March 26th, 2025",N/A,Newspaper,https://drive.google.com/file/d/1SDUmFITqqgDUlG3uKohH6EF67ZwMZhmO/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
Miller,Bruce,,Corvalis-Gazette Times,2022,"Hilary Swank stars in ""Alaska Daily"", a drama that uplifts journalism","Corvalis, OR","Alaska; Anchorage, Alaska; New York",Access World News,"October 22nd, 2022",N/A,Newspaper,https://drive.google.com/file/d/1C1xqma0aGcVvEmKczVAZaqg80OUMIqvS/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
Lee,Linda,,Curry Coastal Pilot,2025,Tolowa Dee-ni' Nation Hosted Awarness Walk for Missing and Murdered Indigenous People,"Brookings, OR","Tolowa Dee-ni' Nation, OR; Del Norte County, CA; Curry County, OR; Bookings, OR",Access World News,"May 8th, 2025",N/A,Newspaper,https://drive.google.com/file/d/1qeFxSDcJ1TNqgqm1nQDmenGGJWKelTjt/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
Lee,Linda,,Curry Coastal Pilot,2025,Tolowa Dee-ni' Nation Hosted Awarness Walk for Missing and Murdered Indigenous People; High Rates of Violence Plague Native American and Alaska Native Communities,"Brookings, OR","Tolowa Dee-ni' Nation, OR; Del Norte County, CA; Curry County, OR; Bookings, OR; Crescent City, CA",Access World News,"April 29th, 2025",N/A,Newspaper,https://drive.google.com/file/d/1SsJ7GNzIn-R3UasOlOsWrzQxNy2V6ekq/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
Lydon,Tim,,Curry Coastal Pilot,2022,How much will a name change change?,"Brookings, OR",Alaska; New Mexico; Colorado; Montana; Washington; Oregon,Access World News,"May 19th, 2022",N/A,Newspaper,https://drive.google.com/file/d/1gdmFz6wPzLYsFEfZ82S5ZnA9KPipQ3Am/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Daily Barometer, The: Oregon State University

",2019,"OSU student testifies before State Senate, protects Native American women","Corvalis, OR","Oregon; Corvalis, OR",Access World News,"May 28th, 2019",N/A,Newspaper,https://drive.google.com/file/d/1uGMQwk34cY3zB43DrPIoZcNUqQTvsx_8/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
