,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Last Name,Author First Name,Other Authors,Newspaper/Publisher,Publication Year,Article Title,"Publication Location (City, County, State) Where was the article published? ","Contextual Location (City, County, State) Where is the article talking about? If mutliple locations are referenced, list them all. If national, write national","News Source (e.g. Google, Ethnic News Watch, etc)",Date of Publication,"Page # (if applicable, if not, write N/A)",Type,Link (paste to Google drive upload),MMIWG mentioned (1=y 0=n),"MMIWG defined (1,0)","specific case (1,0)","MMIWG mvmnt (1,0)","coverage of legal protection (1,0)","News article (1,0)","video/audio (1,0)","material culture (1,0)","international (1,0)","national (1,0)","regional (1,0)","local (1,0)","Native (1,0)",# of sources,# of govt officials,# of ordinary people,# of experts,# of id male,# of id female,# of gender unID,"(Native voice) token/soundbite (1,0)","centers importance of MMIWG (1,0)","discussion of law impact (1,0)",word count,"article series (1,0)"
Nowell,Cecilia ,,"Oregonian, The (2017-2025)",2021,Interior launches effort to solve crimes,"Portland, Multnomah County, Oregon","Umatilla Indian Reservation, Umatilla County, Oregon",Access World News,"April 21, 2021",18,Newspaper-Image Edition,https://drive.google.com/file/d/1Nrb3A6lVjE57MGc_KFbZtLHXjm3D507k/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
Ayer,Tammy,,"Bulletin, The(2005-2025)",2024,"Old photo, private investigator reopen 1957 murder case - Pendleton resident killed during a visit to the Yakama Reservation in Washington
","Bend, Deschutes County, Oregon","Toppenish, Yakima County, Washington",Access World News,"September 4, 2024",N/A,Newspaper,https://drive.google.com/file/d/1hrX9B8HUszt3ZL77YbbeWetZwthhC-Rf/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
Wright,Phil,,"Bulletin, The(2005-2025)",2023,Giving a voice to missing and murdered,"Bend, Deschutes County, Oregon","Yakama Reservation, Yakima County, Washington",Access World News,"July 4, 2023 ",N/A,Newspaper,https://drive.google.com/file/d/1L3F9fpGvB_9j1VtABx2p77hcOEv0sT3m/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
Dole,Bryce,Zack Demars,"Bulletin, The(2005-2025)",2022,"Justice lags for Indigenous survivors of violence

","Bend, Deschutes County, Oregon","La Grande, Union County, Oregon",Access World News,"July 17, 2022 ",N/A,Newspaper,https://drive.google.com/file/d/1L3F9fpGvB_9j1VtABx2p77hcOEv0sT3m/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
Ayer,Tammy,,"Bulletin, The(2024-2025)",2024,"Old photo, private investigator reopen 1957 murder case - Pendleton resident killed during a visit to the Yakama Reservation in Washington
","Bend, Deschutes County, Oregon","Mackay, Butte County, Idaho",Access World News,"September 4, 2024","1,5",Newspaper,https://drive.google.com/file/d/1VERy-b8GBMsEp3G5YETJOqqz6TyteuWJ/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
DYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,Karina,,The Oregonian,2022,"Focus on murdered, missing Indigenous people extends beyond reservations The majority of Native Americans live in cities and also experience high rates of violence","Portland, Multnomah, OR","Portland, Multnomah, OR",Access World News,"August 12, 2022",,Newspaper,https://drive.google.com/file/d/1hStQpRB6MSsfrtQaSHHndFoG4aZoQkpt/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
Ding,Jaimie,,The Oregonian,2021,"Crowd recognizes missing, murdered Indigenous people","Portland, Multnomah, OR","Portland, Multnomah, OR",Access World News,"May 7, 2021",,Newspaper,https://drive.google.com/file/d/12nLfp5V7nHHaNcUpWZuQpcBtcnDtyoxy/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
Ding,Jaimie,,The Oregonian,2021,First report on missing and murdered Indigenous persons in Oregon released,"Portland, Multnomah, OR","Portland, Multnomah, OR",Access World News,"February 24, 2021",,Newspaper,https://drive.google.com/file/d/1kQdxIypVnB3Kf6aVWc8LBvNf2isDGUQr/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,Karina,,The Oregonian: Web Edition Articles,2022,"Focus on murdered, missing Indigenous people extends beyond reservations The majority of Native Americans live in cities and also experience high rates of violence","Portland, Multnomah, OR","Portland, Multnomah, OR",Access World News,"August 7, 2022",,Web-Only Source,https://drive.google.com/file/d/1gTnNWaSqe1WotfMqeYtQPtw02A1y1F57/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
Aadland,Chris,,The Oregonian: Web Edition Articles,2022,"City of Portland's work on missing, murdered Indigenous people expands from awareness to prevention","Portland, Multnomah, OR","Portland, Multnomah, OR",Access World News,"May 2, 2022",,Web-Only Source,https://drive.google.com/file/d/1_O5rxOX_KlsXDgjYZ9gOqyOGGt_wTvja/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
Ding,Jaimie,,The Oregonian: Web Edition Articles,2021,"Crowd gathers on Portland waterfront to recognize missing, murdered Indigenous people","Portland, Multnomah, OR","Portland, Multnomah, OR",Access World News,"May 6, 2021",,Web-Only Source,https://drive.google.com/file/d/18LQhny8neHecBvs8jg1cfvc73rSBjncF/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
Bull,Brian,,The Oregonian: Web Edition Articles,2021,"Efforts to address missing, killed Indigenous women falter in Oregon despite new law","Portland, Multnomah, OR","Yakama, Yakama, WA",Access World News,"May 5, 2021",,Web-Only Source,https://drive.google.com/file/d/1GfZn7ZFA9-4LtSy0FSsrQ5t3BC9cJCBL/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
Ding,Jaimie ,,The Oregonian: Web Edition Articles,2021,Oregon releases first missing and murdered Indigenous persons report,"Portland, Multnomah, OR","Portland, Multnomah, OR",Access World News,"February 20, 2021",,Web-Only Source,https://drive.google.com/file/d/1cELM1BnHtnIcYLetPJONKYTaN4dR0DYG/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
Meza,Ashley,,The Pacific Index: Pacific University,2021,Missing White Woman Syndrome: The Gabby Petito Case,"Forest Grove, Washington, OR","Forest Grove, Washington, OR",Access World News,"October 26, 2021",,Newspaper,https://drive.google.com/file/d/1TQTrbZha-KkjyZLjwu_RjC1U-uVciL9d/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
Cyr,Miranda,,The Register-Gaurd,2025,It's a crisis': Oregon groups spread awareness for murdered and missing Indigenous people,"Eugene, Lane, OR","Eugene, Lane, OR",Access World News,"May 7, 2025",,Newspaper,https://drive.google.com/file/d/1zWp5bfmItZ9gOyHbnG0wTLXR70KqyiNW/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
Ayer,Tammy,,Rogue Valley Times,2024,"Old photo, PI keep focus on solving 1957 murder of Umatilla tribal member","Medford, Jackson, OR","Yakama, Yakama, WA",Access World News,"September 5, 2024",,Newspaper,https://drive.google.com/file/d/1Mf95bnBhZTTZ_0_4RFoyS00EZcKSotv2/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
DURAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaMora,Nick,,Tigard-Tualatin-Sherwood Times,2025,Second Pacific University Powwow to honor missing and murdered Indigenous people,"Tigard, Washington, OR","Forest Grove, Washington, Oregon",NewsBank,"April 30, 2025",1,Newspaper,https://drive.google.com/file/d/1QflBCsLCzpk1iQmq0hzvgAIxgVGbOgb7/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
Lohre,Will,,Tillamook Headlight-Herald,2024,Raising Awareness: Honoring the missing and the murdered,"Tillamook, Tillamook, OR","St. Helens, Columbia, Oregon",NewsBank,"May 8, 2024",1,Newspaper,https://drive.google.com/file/d/113LECXgNX-AiCqeHPhiqu95xBxH-sTsX/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
Wyden,Merkley,,Tillamook Headlight-Herald,2022,"Wyden, Merkley: More than $1.6 Million to Oregon Tribes to Address Sexual Violence","Tillamook, Tillamook, OR","Siletz, Lincoln, Oregon; Chiloquin, Klamath, Oregon; Portland Multnomah, OR",NewsBank,"October 12, 2022",1,Newspaper,https://drive.google.com/file/d/1RXI-H42CfkvXKlB_cr_wBZ27nYPfoCcI/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,Tillamook Headlight-Herald,2022,"Sexual Violence: Tribes to receive $1.6 Million for victim, intervention services","Tillamook, Tillamook, OR","Siletz, Lincoln, Oregon; Chiloquin, Klamath, Oregon; Portland Multnomah, OR",NewsBank,"October 10, 2022",1,Newspaper,https://drive.google.com/file/d/1PtWnL01z-h2o2pQ2BTHKKEiZV5baAYL4/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,Tillamook Headlight-Herald,2022,"Sexual Violence: Tribes to receive $1.6 Million for victim, intervention services","Tillamook, Tillamook, OR","Siletz, Lincoln, Oregon; Chiloquin, Klamath, Oregon; Portland Multnomah, OR",NewsBank,"October 8, 2022",1,Newspaper,https://drive.google.com/file/d/1U6UxCADStxvF9IXAJG4H0mnJdcl1-BTd/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,"Umpqua Post, The",2020,U.S. Attorney and Oregon Attorney General issue joint guidance on enforcement of tribal protection orders,"Reedsport, Douglas, OR","Portland, Multnomah, OR",NewsBank,"January 31, 2020",1,Newspaper,https://drive.google.com/file/d/1Jx7vZODyclDW-u4jI5ZhBngfSdE0mZhF/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
